ID,Name,Position,Shoots,Drafted_Team,Draft_Year,Round,Draft_Pick,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1993-94,17.5315068493151,Mount St. Charles Academy,USHS-RI,15,11,26,37,4,""
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1994-95,18.5315068493151,Detroit Jr. Red Wings,OHL,58,20,55,75,97,""
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1994-95,18.5315068493151,USA U20,WJC-20,7,0,1,1,36,""
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1995-96,19.5315068493151,Detroit Jr. Whalers,OHL,56,31,58,89,116,""
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1995-96,19.5315068493151,"USA U20 
                                                                    “C”",WJC-20,6,1,4,5,20,""
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1996-97,20.5315068493151,New York Islanders,NHL,82,8,40,48,86,1
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1996-97,20.5315068493151,USA,WC,1,1,0,1,0,0
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1997-98,21.5315068493151,New York Islanders,NHL,75,14,32,46,59,-32
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1997-98,21.5315068493151,USA,OG,4,0,0,0,0,-1
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1998-99,22.5315068493151,New York Islanders,NHL,31,4,11,15,26,-6
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1998-99,22.5315068493151,Toronto Maple Leafs,NHL,38,5,14,19,22,7
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,1999-00,23.5315068493151,Toronto Maple Leafs,NHL,64,3,27,30,42,11
9078,Bryan Berard,LD,L,Ottawa Senators,1995,1,1,1977,03,05,USA,RI,Woonsocket,USA,188,220,2000-01,24.5315068493151,Did not play,"","","","","","",""
