ID,Name,Position,Shoots,Drafted_Team,Round,Draft_Pick,Draft_Year,Birth_Year,Birth_Month,Birth_Day,Birth_Country,Birth_State,Birth_City,Country,Height,Weight,Season,Age,Team,League,GP,G,A,TP,PIM,+/-
194184,Joel Leonard,F,L,,,,,1986,04,18,CAN,BC,Kamloops,Canada,185,190,2003-04,18.4109589041096,Prince George Spruce Kings,BCHL,54,5,4,9,33,""
194184,Joel Leonard,F,L,,,,,1986,04,18,CAN,BC,Kamloops,Canada,185,190,2004-05,19.4109589041096,Prince George Spruce Kings,BCHL,39,4,3,7,38,""
194184,Joel Leonard,F,L,,,,,1986,04,18,CAN,BC,Kamloops,Canada,185,190,2004-05,19.4109589041096,Vernon Vipers,BCHL,18,0,3,3,18,""
194184,Joel Leonard,F,L,,,,,1986,04,18,CAN,BC,Kamloops,Canada,185,190,2005-06,20.4109589041096,Vernon Vipers,BCHL,14,3,2,5,18,""
194184,Joel Leonard,F,L,,,,,1986,04,18,CAN,BC,Kamloops,Canada,185,190,2005-06,20.4109589041096,Quesnel Millionaires,BCHL,42,7,25,32,22,""
194184,Joel Leonard,F,L,,,,,1986,04,18,CAN,BC,Kamloops,Canada,185,190,2006-07,21.4109589041096,Tucson Tilt,WSHL,18,24,21,45,72,""
194184,Joel Leonard,F,L,,,,,1986,04,18,CAN,BC,Kamloops,Canada,185,190,2006-07,21.4109589041096,Kamloops Storm,KIJHL,19,12,13,25,28,""
194184,Joel Leonard,F,L,,,,,1986,04,18,CAN,BC,Kamloops,Canada,185,190,2009-10,24.4109589041096,Thompson Rivers Univ.,BCIHL,24,13,25,38,30,""
185920,Justin McLaughlin,LD,L,,,,,1984,11,11,CAN,BC,Coquitlam,Canada,188,201,2003-04,19.8465753424658,Vernon Vipers,BCHL,2,0,0,0,0,""
185920,Justin McLaughlin,LD,L,,,,,1984,11,11,CAN,BC,Coquitlam,Canada,188,201,2003-04,19.8465753424658,Langley Hornets,BCHL,50,2,7,9,104,""
237792,Josh Bishop,LD,L,,,,,1985,04,10,CAN,AB,Lethbridge,Canada,188,192,2001-02,17.4328767123288,Lethbridge Y Men Midget AAA,AMHL,33,2,3,5,48,""
237792,Josh Bishop,LD,L,,,,,1985,04,10,CAN,AB,Lethbridge,Canada,188,192,2002-03,18.4328767123288,Lethbridge Y Men Midget AAA,AMHL,36,1,9,10,66,""
237792,Josh Bishop,LD,L,,,,,1985,04,10,CAN,AB,Lethbridge,Canada,188,192,2003-04,19.4328767123288,Trail Smoke Eaters,BCHL,59,0,9,9,32,""
