Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS
Mario Lemieux,1984-85,19,PIT,NHL,73,43,57,100,54,209,,"","",,,,,,,"AS-7,Calder-1",,,,,,,,125,46,114,0,-33,7.2,0.3,7.5
Mario Lemieux,1985-86,20,PIT,NHL,79,48,93,141,43,276,,"","",,,,,,,"AS-2,Byng-20,Hart-2,Pearson-1",,,,,,,,173,81,100,2,-8,9.9,0.9,10.9
Mario Lemieux,1986-87,21,PIT,NHL,63,54,53,107,57,267,,"","",,,,,,,"AS-2,Byng-18,Hart-4",,,,,,,,133,51,72,3,12,9.5,1.1,10.6
Mario Lemieux,1987-88,22,PIT,NHL,77,70,98,168,92,382,,"","",,,,,,,"AS-1,Hart-1,Pearson-1,Ross-1",,,,,,,,211,106,121,39,23,14.7,1.5,16.2
Mario Lemieux,1988-89,23,PIT,NHL,76,85,114,199,100,313,,"","",,,,,,,"AS-1,Hart-2,Ross-1",,,,,,,,254,110,163,60,41,17.7,1.9,19.6
Mario Lemieux,1989-90,24,PIT,NHL,59,45,78,123,78,226,,"","",,,,,,,AS-4,,,,,,,,151,67,134,32,-18,9.8,0.1,9.9
Mario Lemieux,1990-91,25,PIT,NHL,26,19,26,45,30,89,,"","",,,,,,,Smythe-1,,,,,,,,61,25,29,1,8,4.0,0.4,4.4
Mario Lemieux,1991-92,26,PIT,NHL,64,44,87,131,94,249,,"","",,,,,,,"AS-2,Hart-5,Ross-1,Smythe-1",,,,,,,,182,70,99,14,27,11.0,1.4,12.4
Mario Lemieux,1992-93,27,PIT,NHL,60,69,91,160,38,286,,"","",,,,,,,"AS-1,Byng-7,Hart-1,Masterton-1,Pearson-1,Ross-1",,,,,,,,203,82,89,23,55,14.7,2.2,16.8
Mario Lemieux,1993-94,28,PIT,NHL,22,17,20,37,32,92,,"","",,,,,,,"",,,,,,,,42,19,31,6,-2,3.6,0.2,3.8
Mario Lemieux,1995-96,30,PIT,NHL,70,69,92,161,54,338,,"","",,,,,,,"AS-1,Byng-16,Hart-1,Pearson-1,Ross-1",,,,,,,,197,102,113,28,10,16.6,0.7,17.4
Mario Lemieux,1996-97,31,PIT,NHL,76,50,72,122,65,327,,"","",,,,,,,"AS-5,AS-1,Byng-11,Hart-3,Ross-1,Selke-17",,,,,,,,156,54,102,27,27,12.8,1.7,14.5
Mario Lemieux,2000-01,35,PIT,NHL,43,35,41,76,18,171,,1047,24:20,,,,,,,"AS-2,Byng-8,Hart-2",,,,,,,,99,40,57,13,15,8.3,1.3,9.5
Mario Lemieux,2001-02,36,PIT,NHL,24,6,25,31,14,75,,534,22:16,,,,,,,"",,,,,,,,35,15,22,2,0,2.5,0.6,3.1
Mario Lemieux,2002-03,37,PIT,NHL,67,28,63,91,43,235,,1546,23:05,,,,,,,"AS-4,Byng-44,Hart-15",,,,,,,,104,52,84,7,-25,8.3,1.1,9.4
Mario Lemieux,2003-04,38,PIT,NHL,10,1,8,9,6,21,,224,22:24,,,,,,,"",,,,,,,,9,4,7,0,-2,0.5,0.2,0.7
Mario Lemieux,2005-06,40,PIT,NHL,26,7,15,22,16,77,,504,19:22,,,,,,,"",,,,,,,,30,20,27,1,-16,1.3,-0.1,1.2
Kirk Muller,1984-85,18,NJD,NHL,80,17,37,54,74,158,,"","",,,,,,,Calder-6,,,,,,,,79,29,109,28,-31,1.9,0.5,2.4
Kirk Muller,1985-86,19,NJD,NHL,77,25,41,66,45,168,,"","",,,,,,,"",,,,,,,,90,23,122,35,-21,3.2,0.4,3.6
Kirk Muller,1986-87,20,NJD,NHL,79,26,50,76,75,193,,"","",,,,,,,"",,,,,,,,110,48,96,27,-7,4.6,0.8,5.4
Kirk Muller,1987-88,21,NJD,NHL,80,37,57,94,114,215,,"","",,,,,,,"Hart-8,Selke-10",,,,,,,,134,52,82,19,19,6.6,1.6,8.2
Kirk Muller,1988-89,22,NJD,NHL,80,31,43,74,119,182,,"","",,,,,,,"",,,,,,,,97,33,101,14,-23,4.4,0.3,4.8
Kirk Muller,1989-90,23,NJD,NHL,80,30,56,86,74,200,,"","",,,,,,,AS-10,,,,,,,,109,31,92,13,-1,5.4,0.9,6.3
Kirk Muller,1990-91,24,NJD,NHL,80,19,51,70,76,221,,"","",,,,,,,AS-11,,,,,,,,110,43,88,22,1,3.9,1.0,4.9
Kirk Muller,1991-92,25,MTL,NHL,78,36,41,77,86,191,,"","",,,,,,,"AS-7,AS-12,Selke-19",,,,,,,,101,43,59,16,15,5.9,1.6,7.5
Kirk Muller,1992-93,26,MTL,NHL,80,37,57,94,77,231,,"","",,,,,,,"AS-9,Selke-14",,,,,,,,131,47,103,27,8,6.7,1.1,7.8
Kirk Muller,1993-94,27,MTL,NHL,76,23,34,57,96,168,,"","",,,,,,,"",,,,,,,,95,45,79,28,-1,3.8,0.9,4.7
Kirk Muller,1994-95,28,TOT,NHL,45,11,16,27,47,97,,"","",,,,,,,"",,,,,,,,47,18,68,21,-18,1.8,0.0,1.8
Kirk Muller,1995-96,29,TOT,NHL,51,13,19,32,57,102,,"","",,,,,,,"",,,,,,,,49,17,74,29,-13,2.0,0.3,2.3
Kirk Muller,1996-97,30,TOT,NHL,76,21,19,40,89,174,,"","",,,,,,,"",,,,,,,,65,23,88,21,-25,2.9,0.1,3.0
Kirk Muller,1997-98,31,FLA,NHL,70,8,21,29,54,115,,"","",,,,,,,"",,,,,,,,44,13,61,16,-14,1.2,0.3,1.5
Kirk Muller,1998-99,32,FLA,NHL,82,4,11,15,49,107,,1186,14:28,,,,,,,"",,,,,,,,28,1,62,24,-11,-1.2,0.7,-0.4
Kirk Muller,1999-00,33,DAL,NHL,47,7,15,22,24,57,,770,16:24,,,,,,,"",,,,,,,,35,14,27,3,-3,0.8,1.0,1.8
