Name,Season,Age,Tm,Lg,GP,G,A,PTS,PIM,S,TSA,TOI,ATOI,FOW,FOL,BLK,HIT,TK,GV,Awards,CF,CA,FF,FA,oiGF,oiGA,PDO,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,xGF,xGA
Alex Ovechkin,2005-06,20,WSH,NHL,81,52,54,106,52,425,"",1751,21:37,"","","","","","","AS-1,Calder-1,Hart-6",,,,,,,,132,60,75,5,2,11.0,1.6,12.7,"",""
Alex Ovechkin,2006-07,21,WSH,NHL,82,46,46,92,52,392,"",1754,21:23,"","","","","","","AS-9,AS-1,Hart-22",,,,,,,,124,52,92,1,-19,9.6,0.9,10.5,"",""
Alex Ovechkin,2007-08,22,WSH,NHL,82,65,47,112,40,446,772,1894,23:06,7,11,44,220,68,93,"AS-1,Byng-9,Hart-1,Pearson-1,Richard-1,Ross-1,Selke-30",1610,1159,1187,875,94,60,101.9,150,56,67,1,28,14.1,3.1,17.2,"",""
Alex Ovechkin,2008-09,23,WSH,NHL,79,56,54,110,72,528,875,1817,23:00,8,24,32,243,60,107,"AS-1,AS-10,Hart-1,Pearson-1,Richard-1,Selke-50",1601,1191,1142,882,81,63,100.3,162,80,82,8,8,12.5,2.0,14.5,"",""
Alex Ovechkin,2009-10,24,WSH,NHL,72,50,59,109,89,368,665,1569,21:48,10,12,20,181,66,75,"AS-9,AS-1,Hart-2,Pearson-1,Selke-28",1418,1051,992,775,87,37,105.5,148,59,45,1,45,13.0,2.5,15.6,"",""
Alex Ovechkin,2010-11,25,WSH,NHL,79,32,53,85,41,367,651,1688,21:22,6,12,23,239,48,58,"AS-2,Hart-14",1456,1212,1054,899,70,45,102.0,110,38,49,1,24,8.1,3.0,11.1,"",""
Alex Ovechkin,2011-12,26,WSH,NHL,78,38,27,65,26,303,565,1544,19:48,6,9,42,215,34,51,AS-10,1182,1287,871,933,58,59,101.1,94,36,66,0,-8,7.4,1.3,8.7,"",""
Alex Ovechkin,2012-13,27,WSH,NHL,48,32,24,56,36,220,441,1002,20:53,0,1,18,120,30,25,"AS-2,AS-1,Hart-1,Richard-1",760,794,544,584,41,36,102.4,81,40,40,1,2,7.0,1.0,8.0,"",""
Alex Ovechkin,2013-14,28,WSH,NHL,78,51,28,79,48,386,693,1603,20:33,2,1,22,204,32,48,"AS-2,Hart-23,Richard-1",1241,1226,900,931,43,71,96.5,107,63,80,0,-35,9.9,0.3,10.2,"",""
Alex Ovechkin,2014-15,29,WSH,NHL,81,53,28,81,58,395,724,1646,20:20,2,3,32,259,45,58,"AS-1,Hart-2,Richard-1",1456,1195,1056,868,66,54,100.4,117,51,58,2,10,10.4,2.2,12.6,55.6,46.6
Alex Ovechkin,2015-16,30,WSH,NHL,79,50,21,71,53,398,691,1604,20:19,0,0,34,225,24,50,"AS-7,AS-2,Hart-6,Richard-1",1329,1171,972,829,70,44,102.3,122,52,49,0,21,9.1,2.6,11.7,56.4,44.0
Alex Ovechkin,2016-17,31,WSH,NHL,82,33,36,69,50,313,582,1506,18:22,0,1,29,216,29,46,"AS-3,Hart-12",1243,1187,940,896,63,54,100.7,111,48,58,1,6,7.0,1.7,8.7,52.4,52.2
Alex Ovechkin,2017-18,32,WSH,NHL,82,49,38,87,32,355,653,1652,20:09,3,5,21,139,25,71,"AS-3,Hart-9,Richard-1,Smythe-1",1377,1302,1032,1004,77,67,101.3,130,53,74,0,3,9.3,1.9,11.2,58.1,60.2
Alex Ovechkin,2018-19,33,WSH,NHL,81,51,38,89,40,338,628,1695,20:55,1,4,41,223,47,70,"AS-1,Hart-7,Richard-1",1331,1379,1006,1053,91,80,102.1,138,47,85,0,7,9.2,1.8,11.0,57.3,67.1
Evgeni Malkin,2006-07,20,PIT,NHL,78,33,52,85,80,242,"",1494,19:10,"","","","","","","AS-6,AS-10,Calder-1",,,,,,,,125,64,63,4,2,7.8,1.6,9.4,"",""
Evgeni Malkin,2007-08,21,PIT,NHL,82,47,59,106,78,272,455,1748,21:19,350,540,40,49,69,76,"AS-1,Hart-2",1146,1215,912,919,77,55,103.3,137,60,67,6,16,11.5,2.4,13.9,"",""
